"","x"
"425","B-PA_961_aligned_1376_R_0_388_0"
"426","B-HA_216_aligned_1384_R_0_306_0"
"427","B-NS_588_aligned_1393_F_0_381_0"
"428","B-PB2_574_aligned_1402_R_0_249_0"
"429","B-PB2_1420_aligned_1412_R_0_242_0"
"430","B-PB2_293_aligned_1418_F_0_320_0"
"431","B-NP_1395_aligned_1427_R_0_288_0"
"432","B-MP_765_aligned_1435_R_0_344_0"
"433","B-PB2_1895_aligned_1443_F_0_289_0"
"434","B-HA_1264_aligned_1451_F_0_159_0"
"435","B-NP_1147_aligned_1459_F_0_243_0"
"436","B-PA_56_aligned_1468_R_0_402_0"
"437","B-NA_604_aligned_1476_R_0_142_0"
"438","B-PB1_999_aligned_1484_F_0_194_0"
"439","B-NS_844_aligned_1492_F_0_180_0"
"440","B-NS_37_aligned_1500_R_0_233_0"
"441","B-PB1_1376_aligned_1508_R_0_268_0"
"442","B-NA_930_aligned_1516_F_0_192_0"
"443","B-NA_1157_aligned_1524_F_0_215_0"
"444","B-NA_888_aligned_1534_R_0_206_0"
"445","B-PB1_1827_aligned_1542_F_0_92_0"
"446","B-PB2_585_aligned_1550_F_0_359_0"
"447","B-PA_1430_aligned_1558_F_0_382_0"
"448","B-PB2_20_aligned_1566_F_0_173_0"
"449","B-PB1_349_aligned_1574_F_0_257_0"
"450","B-PB2_809_aligned_1582_R_0_385_0"
"451","B-PB2_1730_aligned_1590_F_0_376_0"
"452","B-PB2_1296_aligned_1598_R_0_199_0"
"453","B-PA_739_aligned_1606_F_0_312_0"
"454","B-MP_318_aligned_1614_F_0_328_0"
"455","B-PB2_1411_aligned_1622_F_0_127_0"
"456","B-HA_166_aligned_1630_F_0_315_0"
"457","B-PB2_1071_aligned_1638_R_0_348_0"
"458","B-HA_1187_aligned_1646_F_0_186_0"
"459","B-MP_511_aligned_1654_F_0_277_0"
"460","B-PB2_1953_aligned_1662_F_0_286_0"
"461","B-MP_290_aligned_1670_R_0_200_0"
"462","B-MP_52_aligned_1678_R_0_405_0"
"463","B-HA_861_aligned_1686_R_0_383_0"
"464","B-PA_121_aligned_1697_F_0_296_0"
"465","B-NP_1112_aligned_1705_F_0_167_0"
"466","B-NA_1053_aligned_1713_R_0_225_0"
"467","B-NP_794_aligned_1720_F_0_193_0"
"468","B-HA_9_aligned_1727_F_0_295_0"
"469","B-NP_469_aligned_1739_F_0_294_0"
"470","B-NA_481_aligned_1747_F_0_259_0"
"471","B-PA_341_aligned_1754_F_0_216_0"
"472","B-NS_509_aligned_1759_R_0_290_0"
"473","B-NS_543_aligned_1767_R_0_403_0"
"474","B-PA_740_aligned_1774_F_0_123_0"
"475","B-PB1_1856_aligned_1784_R_0_231_0"
"476","B-NP_794_aligned_1792_R_0_270_0"
"477","B-PB2_599_aligned_1799_F_0_326_0"
"478","B-HA_510_aligned_1806_R_0_173_0"
"479","B-NP_1462_aligned_1816_F_0_211_0"
"480","B-NP_356_aligned_1823_R_0_192_0"
"481","B-NA_373_aligned_1830_R_0_272_0"
"482","B-PB1_1398_aligned_1837_R_0_211_0"
"483","B-PB2_1276_aligned_1846_F_0_293_0"
"484","B-PB1_1501_aligned_1855_R_0_214_0"
"485","B-NA_702_aligned_1873_R_0_302_0"
"486","B-MP_740_aligned_1876_R_0_311_0"
"487","B-PB1_1164_aligned_1880_F_0_363_0"
"488","B-PA_1597_aligned_1886_F_0_327_0"
"489","B-PA_1301_aligned_1898_R_0_210_0"
"490","B-PB1_172_aligned_1905_F_0_288_0"
"491","B-NA_166_aligned_1914_R_0_370_0"
"492","B-NP_58_aligned_1922_R_0_207_0"
"493","B-PB1_1267_aligned_1929_R_0_244_0"
